时间戳，开盘价，最高价，最低价，收盘价，交易张数，总资金数
['1533386340000', '7333.0', '7339.0', '7329.0', '7329.0', '38042.0', '518.689629230077']
['1533386400000', '7329.0', '7329.0', '7329.0', '7329.0', '0.0', '0.0']   # 起始时间，有开盘价，在周期内，会发送大量的中间数据，最后一次是汇总结果
['1533386400000', '7329.0', '7333.0', '7329.0', '7333.0', '2734.0', '37.292138474597']
['1533386400000', '7329.0', '7333.0', '7329.0', '7333.0', '3364.0', '45.883438079125']
['1533386400000', '7329.0', '7333.52', '7329.0', '7333.0', '3858.0', '52.620096324216']
['1533386400000', '7329.0', '7333.52', '7329.0', '7329.49', '4506.0', '61.460306763777']
['1533386400000', '7329.0', '7333.52', '7329.0', '7330.01', '4518.0', '61.62401731806']
['1533386400000', '7329.0', '7333.52', '7329.0', '7330.0', '8422.0', '114.884612640588']
['1533386400000', '7329.0', '7333.52', '7329.0', '7332.89', '11586.0', '158.049214055808']
['1533386400000', '7329.0', '7333.52', '7329.0', '7332.89', '12160.0', '165.878151832399']
['1533386400000', '7329.0', '7333.52', '7329.0', '7333.0', '12568.0', '171.442040542202']
['1533386400000', '7329.0', '7333.52', '7329.0', '7333.0', '12628.0', '172.260259552157']
['1533386400000', '7329.0', '7333.52', '7329.0', '7333.2', '13140.0', '179.24230546943']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '13658.0', '186.30600455367']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '14270.0', '194.651838455211']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '14292.0', '194.951852092194']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '14870.0', '202.833986155079']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '15288.0', '208.534227963127']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.15', '17738.0', '241.944731016258']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.15', '18178.0', '247.944881020008']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '18428.0', '251.35406496897']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '18540.0', '252.881407120886']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '18614.0', '253.89054389983']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '19382.0', '264.363747227254']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '20014.0', '272.98232079878']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '20084.0', '273.936909643728']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.02', '20178.0', '275.218783489121']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '20406.0', '278.328008251173']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '20782.0', '283.455493404941']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '21214.0', '289.346670276617']
['1533386400000', '7329.0', '7333.67', '7329.0', '7333.0', '21638.0', '295.128695491245']
['1533386400000', '7329.0', '7335.0', '7329.0', '7335.0', '22638.0', '308.762686469102']
['1533386400000', '7329.0', '7335.0', '7329.0', '7333.0', '28262.0', '385.457081668883']
['1533386400000', '7329.0', '7335.0', '7329.0', '7333.0', '29964.0', '408.67124070594']
['1533386400000', '7329.0', '7335.0', '7329.0', '7333.0', '30244.0', '412.48959608573']
['1533386400000', '7329.0', '7335.0', '7329.0', '7330.0', '30396.0', '414.562485880225']
['1533386400000', '7329.0', '7335.0', '7329.0', '7333.0', '31792.0', '433.601006857786']
['1533386400000', '7329.0', '7335.0', '7328.27', '7328.27', '32798.0', '447.325724628309']
['1533386400000', '7329.0', '7335.0', '7328.27', '7333.0', '33968.0', '463.281855725651']
['1533386400000', '7329.0', '7335.0', '7328.27', '7333.01', '35684.0', '486.685201218309']
['1533386400000', '7329.0', '7335.0', '7328.27', '7333.01', '35724.0', '487.230679814411']
['1533386400000', '7329.0', '7335.0', '7328.27', '7333.0', '36620.0', '499.449416918159']
['1533386400000', '7329.0', '7335.0', '7328.27', '7333.0', '36728.0', '500.922211136078']
['1533386400000', '7329.0', '7335.0', '7328.27', '7333.0', '37016.0', '504.849662383862']
['1533386400000', '7329.0', '7335.0', '7328.27', '7333.0', '37120.0', '506.267908667784']
['1533386400000', '7329.0', '7335.0', '7328.27', '7329.21', '38076.0', '519.305005929188']
['1533386400000', '7329.0', '7335.0', '7326.66', '7326.66', '40652.0', '554.436238151102']
['1533386400000', '7329.0', '7335.0', '7326.66', '7332.99', '41562.0', '566.847825789118']
['1533386400000', '7329.0', '7335.0', '7326.66', '7333.0', '42372.0', '577.893891386119']
['1533386400000', '7329.0', '7335.0', '7326.66', '7333.0', '43094.0', '587.740800049968'] # 周期结束，有最高价，最低价，收盘价，和总张数，总资金数
['1533386460000', '7332.45', '7333.0', '7332.45', '7333.0', '1234.0', '16.828447131606']
